,,jona31:LASI,,,jona31:RASI,,,jona31:LPSI,,,jona31:RPSI,,,jona31:LTHI,,,jona31:LKNE,,,jona31:LTIB,,,jona31:LANK,,,jona31:LHEE,,,jona31:LTOE,,,jona31:RTHI,,,jona31:RKNE,,,jona31:RTIB,,,jona31:RANK,,,jona31:RHEE,,,jona31:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
33,0,-126.413109,-1024.002075,853.242737,42.806530,-1150.366699,867.492859,-253.226074,-1214.749756,952.075867,-132.566254,-1317.731445,955.337952,-275.378784,-1111.904297,656.851929,-338.765259,-1226.380127,488.099823,-416.593536,-1340.061035,318.580536,-440.163361,-1390.462769,175.051300,-411.318207,-1447.472778,176.851669,-419.391235,-1229.132324,45.687397,58.254704,-1259.961182,643.357300,24.762716,-1232.420654,464.795197,-4.194875,-1268.172852,273.226440,-44.370651,-1289.643799,103.532883,,,,-41.125031,-1078.533691,61.884304
34,0,-126.717117,-1024.228027,853.260620,42.759663,-1150.322998,867.497009,-253.094223,-1215.198364,952.291443,-132.235504,-1317.957031,955.476074,-275.682465,-1112.518799,657.052246,-338.951233,-1226.944458,488.187256,-416.600983,-1340.506592,318.718262,-440.055145,-1390.608276,175.078690,-411.197083,-1447.579102,176.823532,-419.414642,-1229.081421,45.671894,58.340954,-1259.759521,643.407349,24.823029,-1232.135498,464.893402,-4.155853,-1267.925781,273.278107,-44.385876,-1289.531738,103.653580,,,,-41.112888,-1078.513428,61.880669
35,0,-127.013145,-1024.459595,853.256409,42.734119,-1150.279297,867.466431,-252.958389,-1215.641968,952.475342,-131.901016,-1318.177979,955.578735,-275.983612,-1113.131226,657.233093,-339.174835,-1227.489380,488.244019,-416.641205,-1340.965210,318.836914,-439.989197,-1390.753052,175.101944,-411.123505,-1447.680664,176.797592,-419.439240,-1229.053223,45.664444,58.429722,-1259.583984,643.426208,24.883205,-1231.900146,464.956848,-4.123699,-1267.729614,273.309753,-44.410942,-1289.438354,103.750534,,,,-41.102615,-1078.500854,61.880547
36,0,-127.301201,-1024.695679,853.229919,42.731007,-1150.229614,867.401062,-252.815933,-1216.080811,952.625366,-131.558609,-1318.391968,955.644104,-276.280457,-1113.736450,657.391907,-339.432343,-1228.012451,488.268890,-416.712280,-1341.433350,318.933105,-439.963806,-1390.899536,175.116348,-411.094513,-1447.780396,176.767715,-419.464874,-1229.048828,45.664417,58.524574,-1259.428223,643.411194,24.945423,-1231.710815,464.981750,-4.098660,-1267.584473,273.317932,-44.446442,-1289.365723,103.818871,,,,-41.094639,-1078.495728,61.883976
37,0,-127.581642,-1024.934082,853.181885,42.751354,-1150.167847,867.301025,-252.663818,-1216.515137,952.739380,-131.203125,-1318.597168,955.670959,-276.571564,-1114.328857,657.525574,-339.719116,-1228.511475,488.260406,-416.811798,-1341.907593,319.002899,-439.976654,-1391.051147,175.116592,-411.106232,-1447.881714,176.726715,-419.491333,-1229.068359,45.671188,58.629692,-1259.285400,643.360107,25.012463,-1231.562256,464.964722,-4.080538,-1267.488403,273.299408,-44.492664,-1289.314819,103.854141,,,,-41.089287,-1078.497681,61.890999
38,0,-127.855064,-1025.173462,853.112976,42.796219,-1150.086792,867.167175,-252.498566,-1216.946655,952.815063,-130.828781,-1318.791748,955.657471,-276.855164,-1114.901855,657.631531,-340.030182,-1228.983032,488.217255,-416.937073,-1342.383789,319.042114,-440.025543,-1391.211670,175.097244,-411.154877,-1447.988770,176.666672,-419.518158,-1229.111450,45.684338,58.749756,-1259.146973,643.270447,25.087666,-1231.447876,464.902344,-4.068628,-1267.438843,273.250977,-44.549519,-1289.287109,103.852516,,,,-41.086761,-1078.505737,61.901649
39,0,-128.122086,-1025.411865,853.024475,42.866734,-1149.979370,867.000000,-252.316422,-1217.375977,952.849792,-130.429337,-1318.973389,955.602234,-277.129364,-1115.447876,657.706604,-340.360291,-1229.422974,488.137512,-417.085602,-1342.856934,319.046295,-440.108398,-1391.384399,175.052765,-411.236694,-1448.105957,176.579407,-419.545013,-1229.176514,45.703861,58.889816,-1259.003052,643.140198,25.174883,-1231.359253,464.791473,-4.061654,-1267.432495,273.169830,-44.616455,-1289.282593,103.810944,,,,-41.087143,-1078.519897,61.916000
40,0,-128.383453,-1025.647217,852.917603,42.964062,-1149.837402,866.800232,-252.113373,-1217.805054,952.840881,-129.998230,-1319.140137,955.503296,-277.391846,-1115.958130,657.748047,-340.703888,-1229.824341,488.018768,-417.254700,-1343.321777,319.010559,-440.223755,-1391.572632,174.977905,-411.348755,-1448.237793,176.456787,-419.571320,-1229.262207,45.730358,59.055229,-1258.843262,642.967468,25.278450,-1231.287231,464.629333,-4.057711,-1267.464355,273.053375,-44.692459,-1289.302002,103.727264,,,,-41.090378,-1078.539795,61.934185
41,0,-128.639954,-1025.877441,852.794373,43.089378,-1149.652832,866.568970,-251.885361,-1218.235107,952.785339,-129.528717,-1319.289673,955.359009,-277.640381,-1116.422241,657.752686,-341.055298,-1230.178223,487.858093,-417.441925,-1343.772217,318.930267,-440.370697,-1391.779175,174.868027,-411.488861,-1448.388550,176.291351,-419.596436,-1229.366333,45.765137,59.251534,-1258.656982,642.750549,25.403111,-1231.221924,464.413483,-4.054233,-1267.529541,272.899689,-44.776024,-1289.344604,103.600418,,,,-41.096298,-1078.565308,61.956406
42,0,-128.892395,-1026.100708,852.657166,43.243805,-1149.417603,866.307434,-251.628067,-1218.668091,952.679871,-129.014008,-1319.420044,955.167358,-277.872131,-1116.829468,657.718079,-341.408813,-1230.472900,487.651764,-417.644958,-1344.200073,318.801025,-440.548950,-1392.006226,174.719482,-411.655701,-1448.562378,176.076782,-419.619751,-1229.485718,45.810253,59.484402,-1258.431763,642.488464,25.553940,-1231.151611,464.142151,-4.047984,-1267.620850,272.707214,-44.865143,-1289.409912,103.430458,,,,-41.104664,-1078.596680,61.982975
43,0,-129.141785,-1026.314453,852.508972,43.428288,-1149.123657,866.016785,-251.337357,-1219.105957,952.521179,-128.447296,-1319.529297,954.926697,-278.084442,-1117.167358,657.641602,-341.758484,-1230.693481,487.395447,-417.861298,-1344.596313,318.618958,-440.758575,-1392.254517,174.529800,-411.849030,-1448.761963,175.808640,-419.640747,-1229.617920,45.868481,59.759514,-1258.155762,642.180420,25.736231,-1231.064575,463.814087,-4.035087,-1267.730835,272.475128,-44.957390,-1289.496216,103.218620,,,,-41.115150,-1078.634277,62.014290
